ID,Date,Region,City,Category,Product,Qty,UnitPrice,TotalPrice
ID07351,01-Jan,East,Boston,Bars,Carrot,33,1.77,
ID07352,04-Jan,East,Boston,Crackers,Whole Wheat,87,3.49,
ID07353,07-Jan,West,Los Angeles,Cookies,Chocolate Chip,58,1.87,
ID07354,10-Jan,East,New York,Cookies,Chocolate Chip,82,1.87,
ID07355,13-Jan,East,Boston,Cookies,Arrowroot,38,2.18,
ID07356,16-Jan,East,Boston,Bars,Carrot,54,1.77,
ID07357,19-Jan,East,Boston,Crackers,Whole Wheat,149,3.49,
ID07358,22-Jan,West,Los Angeles,Bars,Carrot,51,1.77,
ID07359,25-Jan,East,New York,Bars,Carrot,100,1.77,
ID07360,28-Jan,East,New York,Snacks,Potato Chips,28,1.35,
ID07361,31-Jan,East,Boston,Cookies,Arrowroot,36,2.18,
ID07362,03-Feb,East,Boston,Cookies,Chocolate Chip,31,1.87,
ID07363,06-Feb,East,Boston,Crackers,Whole Wheat,28,3.49,
ID07364,09-Feb,West,Los Angeles,Bars,Carrot,44,1.77,
ID07365,12-Feb,East,New York,Bars,Carrot,23,1.77,
ID07366,15-Feb,East,New York,Snacks,Potato Chips,27,1.35,
ID07367,18-Feb,East,Boston,Cookies,Arrowroot,43,2.18,
ID07368,21-Feb,East,Boston,Cookies,Oatmeal Raisin,123,2.84,
ID07369,24-Feb,West,Los Angeles,Bars,Bran,42,1.87,
ID07370,27-Feb,West,Los Angeles,Cookies,Oatmeal Raisin,33,2.84,
ID07371,02-Mar,East,New York,Cookies,Chocolate Chip,85,1.87,
ID07372,05-Mar,West,San Diego,Cookies,Oatmeal Raisin,30,2.84,
ID07373,08-Mar,East,Boston,Bars,Carrot,61,1.77,
ID07374,11-Mar,East,Boston,Crackers,Whole Wheat,40,3.49,
ID07375,14-Mar,West,Los Angeles,Cookies,Chocolate Chip,86,1.87,
ID07376,17-Mar,East,New York,Bars,Carrot,38,1.77,
ID07377,20-Mar,East,New York,Snacks,Potato Chips,68,1.68,
ID07378,23-Mar,West,San Diego,Cookies,Chocolate Chip,39,1.87,
ID07379,26-Mar,East,Boston,Bars,Bran,103,1.87,
ID07380,29-Mar,East,Boston,Cookies,Oatmeal Raisin,193,2.84,
ID07381,01-Apr,West,Los Angeles,Bars,Carrot,58,1.77,
ID07382,04-Apr,West,Los Angeles,Snacks,Potato Chips,68,1.68,
ID07383,07-Apr,East,New York,Bars,Carrot,91,1.77,
ID07384,10-Apr,East,New York,Crackers,Whole Wheat,23,3.49,
ID07385,13-Apr,West,San Diego,Snacks,Potato Chips,28,1.68,
ID07386,16-Apr,East,Boston,Bars,Carrot,48,1.77,
ID07387,19-Apr,East,Boston,Snacks,Potato Chips,134,1.68,
ID07388,22-Apr,West,Los Angeles,Bars,Carrot,20,1.77,
ID07389,25-Apr,East,New York,Bars,Carrot,53,1.77,
ID07390,28-Apr,East,New York,Snacks,Potato Chips,64,1.68,
ID07391,01-May,West,San Diego,Cookies,Chocolate Chip,63,1.87,
ID07392,04-May,East,Boston,Bars,Bran,105,1.87,
ID07393,07-May,East,Boston,Cookies,Oatmeal Raisin,138,2.84,
ID07394,10-May,West,Los Angeles,Bars,Carrot,25,1.77,
ID07395,13-May,West,Los Angeles,Crackers,Whole Wheat,21,3.49,
ID07396,16-May,East,New York,Bars,Carrot,61,1.77,
ID07397,19-May,East,New York,Snacks,Potato Chips,49,1.68,
ID07398,22-May,West,San Diego,Cookies,Chocolate Chip,55,1.87,
ID07399,25-May,East,Boston,Cookies,Arrowroot,27,2.18,
ID07400,28-May,East,Boston,Bars,Carrot,58,1.77,
ID07401,31-May,East,Boston,Crackers,Whole Wheat,33,3.49,
ID07402,03-Jun,West,Los Angeles,Cookies,Oatmeal Raisin,288,2.84,
ID07403,06-Jun,East,New York,Cookies,Chocolate Chip,76,1.87,
ID07404,09-Jun,West,San Diego,Bars,Carrot,42,1.77,
ID07405,12-Jun,West,San Diego,Crackers,Whole Wheat,20,3.49,
ID07406,15-Jun,East,Boston,Bars,Carrot,75,1.77,
ID07407,18-Jun,East,Boston,Crackers,Whole Wheat,38,3.49,
ID07408,21-Jun,West,Los Angeles,Bars,Carrot,306,1.77,
ID07409,24-Jun,West,Los Angeles,Snacks,Potato Chips,28,1.68,
ID07410,27-Jun,East,New York,Bars,Bran,110,1.87,
ID07411,30-Jun,East,New York,Cookies,Oatmeal Raisin,51,2.84,
ID07412,03-Jul,West,San Diego,Bars,Carrot,52,1.77,
ID07413,06-Jul,West,San Diego,Crackers,Whole Wheat,28,3.49,
ID07414,09-Jul,East,Boston,Bars,Carrot,136,1.77,
ID07415,12-Jul,East,Boston,Crackers,Whole Wheat,42,3.49,
ID07416,15-Jul,West,Los Angeles,Cookies,Chocolate Chip,75,1.87,
ID07417,18-Jul,East,New York,Bars,Bran,72,1.87,
ID07418,21-Jul,East,New York,Cookies,Oatmeal Raisin,56,2.84,
ID07419,24-Jul,West,San Diego,Bars,Bran,51,1.87,
ID07420,27-Jul,West,San Diego,Snacks,Potato Chips,31,1.68,
ID07421,30-Jul,East,Boston,Bars,Bran,56,1.87,
ID07422,02-Aug,East,Boston,Cookies,Oatmeal Raisin,137,2.84,
ID07423,05-Aug,West,Los Angeles,Cookies,Chocolate Chip,107,1.87,
ID07424,08-Aug,East,New York,Bars,Carrot,24,1.77,
ID07425,11-Aug,East,New York,Crackers,Whole Wheat,30,3.49,
ID07426,14-Aug,West,San Diego,Cookies,Chocolate Chip,70,1.87,
ID07427,17-Aug,East,Boston,Cookies,Arrowroot,31,2.18,
ID07428,20-Aug,East,Boston,Bars,Carrot,109,1.77,
ID07429,23-Aug,East,Boston,Crackers,Whole Wheat,21,3.49,
ID07430,26-Aug,West,Los Angeles,Cookies,Chocolate Chip,80,1.87,
ID07431,29-Aug,East,New York,Bars,Bran,75,1.87,
ID07432,01-Sep,East,New York,Cookies,Oatmeal Raisin,74,2.84,
ID07433,04-Sep,West,San Diego,Bars,Carrot,45,1.77,
ID07434,07-Sep,East,Boston,Cookies,Arrowroot,28,2.18,
ID07435,10-Sep,East,Boston,Bars,Carrot,143,1.77,
ID07436,13-Sep,East,Boston,Snacks,Pretzels,27,3.15,
ID07437,16-Sep,West,Los Angeles,Bars,Carrot,133,1.77,
ID07438,19-Sep,East,New York,Cookies,Arrowroot,110,2.18,
ID07439,22-Sep,East,New York,Cookies,Chocolate Chip,65,1.87,
ID07440,25-Sep,West,San Diego,Bars,Bran,33,1.87,
ID07441,28-Sep,East,Boston,Cookies,Arrowroot,81,2.18,
ID07442,01-Oct,East,Boston,Bars,Carrot,77,1.77,
ID07443,04-Oct,East,Boston,Crackers,Whole Wheat,38,3.49,
ID07444,07-Oct,West,Los Angeles,Bars,Carrot,40,1.77,
ID07445,10-Oct,West,Los Angeles,Snacks,Potato Chips,114,1.68,
ID07446,13-Oct,East,New York,Cookies,Arrowroot,224,2.18,
ID07447,16-Oct,East,New York,Bars,Carrot,141,1.77,
ID07448,19-Oct,East,New York,Crackers,Whole Wheat,32,3.49,
ID07449,22-Oct,West,San Diego,Bars,Carrot,20,1.77,
ID07450,25-Oct,East,Boston,Cookies,Arrowroot,40,2.18,
ID07451,28-Oct,East,Boston,Cookies,Chocolate Chip,49,1.87,
ID07452,31-Oct,East,Boston,Crackers,Whole Wheat,46,3.49,
ID07453,03-Nov,West,Los Angeles,Bars,Carrot,39,1.77,
ID07454,06-Nov,West,Los Angeles,Snacks,Potato Chips,62,1.68,
ID07455,09-Nov,East,New York,Bars,Carrot,90,1.77,
ID07456,12-Nov,West,San Diego,Cookies,Arrowroot,103,2.18,
ID07457,15-Nov,West,San Diego,Cookies,Oatmeal Raisin,32,2.84,
ID07458,18-Nov,East,Boston,Bars,Bran,66,1.87,
ID07459,21-Nov,East,Boston,Cookies,Oatmeal Raisin,97,2.84,
ID07460,24-Nov,West,Los Angeles,Bars,Carrot,30,1.77,
ID07461,27-Nov,West,Los Angeles,Snacks,Potato Chips,29,1.68,
ID07462,30-Nov,East,New York,Bars,Carrot,92,1.77,
ID07463,03-Dec,West,San Diego,Cookies,Arrowroot,139,2.18,
ID07464,06-Dec,West,San Diego,Cookies,Oatmeal Raisin,29,2.84,
ID07465,09-Dec,East,Boston,Bars,Banana,30,2.27,
ID07466,12-Dec,East,Boston,Cookies,Chocolate Chip,36,1.87,
ID07467,15-Dec,East,Boston,Crackers,Whole Wheat,41,3.49,
ID07468,18-Dec,West,Los Angeles,Bars,Carrot,44,1.77,
ID07469,21-Dec,West,Los Angeles,Snacks,Potato Chips,29,1.68,
ID07470,24-Dec,East,New York,Cookies,Arrowroot,237,2.18,
ID07471,27-Dec,East,New York,Cookies,Chocolate Chip,65,1.87,
ID07472,30-Dec,West,San Diego,Cookies,Arrowroot,83,2.18,
ID07473,02-Jan,East,Boston,Cookies,Arrowroot,32,2.18,
ID07474,05-Jan,East,Boston,Bars,Carrot,63,1.77,
ID07475,08-Jan,East,Boston,Snacks,Pretzels,29,3.15,
ID07476,11-Jan,West,Los Angeles,Bars,Bran,77,1.87,
ID07477,14-Jan,West,Los Angeles,Cookies,Oatmeal Raisin,80,2.84,
ID07478,17-Jan,East,New York,Bars,Carrot,102,1.77,
ID07479,20-Jan,East,New York,Crackers,Whole Wheat,31,3.49,
ID07480,23-Jan,West,San Diego,Bars,Carrot,56,1.77,
ID07481,26-Jan,East,Boston,Cookies,Arrowroot,52,2.18,
ID07482,29-Jan,East,Boston,Bars,Carrot,51,1.77,
ID07483,01-Feb,East,Boston,Snacks,Potato Chips,24,1.68,
ID07484,04-Feb,West,Los Angeles,Cookies,Arrowroot,58,2.18,
ID07485,07-Feb,West,Los Angeles,Cookies,Chocolate Chip,34,1.87,
ID07486,10-Feb,East,New York,Bars,Carrot,34,1.77,
ID07487,13-Feb,East,New York,Snacks,Potato Chips,21,1.68,
ID07488,16-Feb,West,San Diego,Cookies,Oatmeal Raisin,29,2.84,
ID07489,19-Feb,East,Boston,Bars,Carrot,68,1.77,
ID07490,22-Feb,East,Boston,Snacks,Pretzels,31,3.15,
ID07491,25-Feb,West,Los Angeles,Cookies,Arrowroot,30,2.18,
ID07492,28-Feb,West,Los Angeles,Cookies,Chocolate Chip,232,1.87,
ID07493,02-Mar,East,New York,Bars,Bran,68,1.87,
ID07494,05-Mar,East,New York,Cookies,Oatmeal Raisin,97,2.84,
ID07495,08-Mar,West,San Diego,Bars,Bran,86,1.87,
ID07496,11-Mar,West,San Diego,Snacks,Potato Chips,41,1.68,
ID07497,14-Mar,East,Boston,Bars,Carrot,93,1.77,
ID07498,17-Mar,East,Boston,Snacks,Potato Chips,47,1.68,
ID07499,20-Mar,West,Los Angeles,Bars,Carrot,103,1.77,
ID07500,23-Mar,West,Los Angeles,Snacks,Potato Chips,33,1.68,
ID07501,26-Mar,East,New York,Bars,Bran,57,1.87,
ID07502,29-Mar,East,New York,Cookies,Oatmeal Raisin,65,2.84,
ID07503,01-Apr,West,San Diego,Bars,Carrot,118,1.77,
ID07504,04-Apr,East,Boston,Cookies,Arrowroot,36,2.18,
ID07505,07-Apr,East,Boston,Cookies,Oatmeal Raisin,123,2.84,
ID07506,10-Apr,West,Los Angeles,Bars,Carrot,90,1.77,
ID07507,13-Apr,West,Los Angeles,Crackers,Whole Wheat,21,3.49,
ID07508,16-Apr,East,New York,Bars,Carrot,48,1.77,
ID07509,19-Apr,East,New York,Snacks,Potato Chips,24,1.68,
ID07510,22-Apr,West,San Diego,Cookies,Chocolate Chip,67,1.87,
ID07511,25-Apr,East,Boston,Bars,Bran,27,1.87,
ID07512,28-Apr,East,Boston,Cookies,Oatmeal Raisin,129,2.84,
ID07513,01-May,West,Los Angeles,Cookies,Arrowroot,77,2.18,
ID07514,04-May,West,Los Angeles,Cookies,Chocolate Chip,58,1.87,
ID07515,07-May,East,New York,Bars,Bran,47,1.87,
ID07516,10-May,East,New York,Cookies,Oatmeal Raisin,33,2.84,
ID07517,13-May,West,San Diego,Cookies,Chocolate Chip,82,1.87,
ID07518,16-May,East,Boston,Bars,Carrot,58,1.77,
ID07519,19-May,East,Boston,Snacks,Pretzels,30,3.15,
ID07520,22-May,West,Los Angeles,Cookies,Chocolate Chip,43,1.87,
ID07521,25-May,East,New York,Bars,Carrot,84,1.77,
ID07522,28-May,West,San Diego,Cookies,Arrowroot,36,2.18,
ID07523,31-May,West,San Diego,Cookies,Oatmeal Raisin,44,2.84,
ID07524,03-Jun,East,Boston,Bars,Bran,27,1.87,
ID07525,06-Jun,East,Boston,Cookies,Oatmeal Raisin,120,2.84,
ID07526,09-Jun,East,Boston,Crackers,Whole Wheat,26,3.49,
ID07527,12-Jun,West,Los Angeles,Bars,Carrot,73,1.77,
ID07528,15-Jun,East,New York,Bars,Bran,38,1.87,
ID07529,18-Jun,East,New York,Cookies,Oatmeal Raisin,40,2.84,
ID07530,21-Jun,West,San Diego,Bars,Carrot,41,1.77,
ID07531,24-Jun,East,Boston,Bars,Banana,27,2.27,
ID07532,27-Jun,East,Boston,Cookies,Chocolate Chip,38,1.87,
ID07533,30-Jun,East,Boston,Crackers,Whole Wheat,34,3.49,
ID07534,03-Jul,West,Los Angeles,Bars,Bran,65,1.87,
ID07535,06-Jul,West,Los Angeles,Cookies,Oatmeal Raisin,60,2.84,
ID07536,09-Jul,East,New York,Cookies,Arrowroot,37,2.18,
ID07537,12-Jul,East,New York,Cookies,Chocolate Chip,40,1.87,
ID07538,15-Jul,West,San Diego,Bars,Bran,26,1.87,
ID07539,18-Jul,East,Boston,Bars,Banana,22,2.27,
ID07540,21-Jul,East,Boston,Cookies,Chocolate Chip,32,1.87,
ID07541,24-Jul,East,Boston,Crackers,Whole Wheat,23,3.49,
ID07542,27-Jul,West,Los Angeles,Cookies,Arrowroot,20,2.18,
ID07543,30-Jul,West,Los Angeles,Cookies,Chocolate Chip,64,1.87,
ID07544,02-Aug,East,New York,Bars,Carrot,71,1.77,
ID07545,05-Aug,West,San Diego,Cookies,Arrowroot,90,2.18,
ID07546,08-Aug,West,San Diego,Cookies,Oatmeal Raisin,38,2.84,
ID07547,11-Aug,East,Boston,Bars,Carrot,55,1.77,
ID07548,14-Aug,East,Boston,Snacks,Pretzels,22,3.15,
ID07549,17-Aug,West,Los Angeles,Bars,Carrot,34,1.77,
ID07550,20-Aug,East,New York,Bars,Bran,39,1.87,
ID07551,23-Aug,East,New York,Cookies,Oatmeal Raisin,41,2.84,
ID07552,26-Aug,West,San Diego,Bars,Carrot,41,1.77,
ID07553,29-Aug,East,Boston,Cookies,Arrowroot,136,2.18,
ID07554,01-Sep,East,Boston,Bars,Carrot,25,1.77,
ID07555,04-Sep,East,Boston,Snacks,Pretzels,26,3.15,
ID07556,07-Sep,West,Los Angeles,Bars,Bran,50,1.87,
ID07557,10-Sep,West,Los Angeles,Cookies,Oatmeal Raisin,79,2.84,
ID07558,13-Sep,East,New York,Bars,Carrot,30,1.77,
ID07559,16-Sep,East,New York,Snacks,Potato Chips,20,1.68,
ID07560,19-Sep,West,San Diego,Bars,Carrot,49,1.77,
ID07561,22-Sep,East,Boston,Cookies,Arrowroot,40,2.18,
ID07562,25-Sep,East,Boston,Bars,Carrot,31,1.77,
ID07563,28-Sep,East,Boston,Snacks,Pretzels,21,3.15,
ID07564,01-Oct,West,Los Angeles,Bars,Bran,43,1.87,
ID07565,04-Oct,West,Los Angeles,Cookies,Oatmeal Raisin,47,2.84,
ID07566,07-Oct,East,New York,Cookies,Arrowroot,175,2.18,
ID07567,10-Oct,East,New York,Cookies,Chocolate Chip,23,1.87,
ID07568,13-Oct,West,San Diego,Bars,Carrot,40,1.77,
ID07569,16-Oct,East,Boston,Cookies,Arrowroot,87,2.18,
ID07570,19-Oct,East,Boston,Bars,Carrot,43,1.77,
ID07571,22-Oct,East,Boston,Crackers,Whole Wheat,30,3.49,
ID07572,25-Oct,West,Los Angeles,Bars,Carrot,35,1.77,
ID07573,28-Oct,East,New York,Bars,Bran,57,1.87,
ID07574,31-Oct,East,New York,Snacks,Potato Chips,25,1.68,
ID07575,03-Nov,West,San Diego,Cookies,Chocolate Chip,24,1.87,
ID07576,06-Nov,East,Boston,Bars,Bran,83,1.87,
ID07577,09-Nov,East,Boston,Cookies,Oatmeal Raisin,124,2.84,
ID07578,12-Nov,West,Los Angeles,Bars,Carrot,137,1.77,
ID07579,15-Nov,East,New York,Cookies,Arrowroot,146,2.18,
ID07580,18-Nov,East,New York,Cookies,Chocolate Chip,34,1.87,
ID07581,21-Nov,West,San Diego,Bars,Carrot,20,1.77,
ID07582,24-Nov,East,Boston,Cookies,Arrowroot,139,2.18,
ID07583,27-Nov,East,Boston,Cookies,Chocolate Chip,211,1.87,
ID07584,30-Nov,East,Boston,Crackers,Whole Wheat,20,3.49,
ID07585,03-Dec,West,Los Angeles,Bars,Bran,42,1.87,
ID07586,06-Dec,West,Los Angeles,Cookies,Oatmeal Raisin,100,2.84,
ID07587,09-Dec,East,New York,Bars,Carrot,38,1.77,
ID07588,12-Dec,East,New York,Crackers,Whole Wheat,25,3.49,
ID07589,15-Dec,West,San Diego,Cookies,Chocolate Chip,96,1.87,
ID07590,18-Dec,East,Boston,Cookies,Arrowroot,34,2.18,
ID07591,21-Dec,East,Boston,Cookies,Chocolate Chip,245,1.87,
ID07592,24-Dec,East,Boston,Crackers,Whole Wheat,30,3.49,
ID07593,27-Dec,West,Los Angeles,Bars,Bran,30,1.87,
ID07594,30-Dec,West,Los Angeles,Cookies,Oatmeal Raisin,44,2.84,
ID07595,31-Dec,West,Los Angeles,Cookies,Oatmeal Raisin,45,2.86,
